Biggest pipediameter;Reduces to size;;;;;;Installation length in inches;Installationlength in mm
0.750;0.375;0.500;;;;;1.500;38.100
1.000;0.375;0.500;0.750;;;;2.000;50.800
1.250;0.500;0.750;1.000;;;;2.000;50.800
1.500;0.500;0.750;1.000;1.250;;;2.500;63.500
2.000;0.750;1.000;1.250;1.500;;;3.000;76.200
2.500;1.000;1.250;1.500;2.000;;;3.500;88.900
3.000;1.250;1.500;2.000;2.500;;;3.500;88.900
3.500;1.250;1.500;2.000;2.500;;;4.000;101.600
4.000;1.500;2.000;2.500;3.000;3.500;;4.000;101.600
5.000;2.000;2.500;3.000;3.500;4.000;5.000;5.000;127.000
6.000;2.500;3.000;3.500;4.000;5.000;;5.500;139.700
8.000;3.500;4.000;5.000;6.000;;;6.000;152.400
10.000;4.000;5.000;6.000;8.000;;;7.000;177.800
12.000;5.000;6.000;8.000;10.000;;;8.000;203.200
14.000;6.000;8.000;10.000;12.000;;;13.000;330.200
16.000;8.000;10.000;12.000;14.000;;;14.000;355.600
18.000;10.000;12.000;14.000;18.000;;;15.000;381.000
20.000;12.000;14.000;16.000;18.000;;;20.000;508.000
22.000;14.000;16.000;18.000;20.000;;;20.000;508.000
24.000;16.000;18.000;20.000;22.000;;;20.000;508.000
26.000;18.000;20.000;22.000;24.000;;;24.000;609.600
30.000;20.000;24.000;26.000;28.000;;;24.000;609.600
34.000;24.000;26.000;30.000;32.000;;;24.000;609.600
36.000;24.000;26.000;30.000;32.000;34.000;;24.000;609.600
42.000;24.000;26.000;30.000;32.000;34.000;36.000;24.000;609.600
