Pipediameter in mm ;Wallthickness in mm;;;;;;
10.2;1.6;;;;;;
10.2;2.0;;;;;;
10.2;2.3;;;;;;
10.2;2.6;;;;;;
10.2;2.9;;;;;;
10.2;3.2;;;;;;
13.5;1.8;;;;;;
13.5;2.0;;;;;;
13.5;2.3;;;;;;
13.5;2.6;;;;;;
13.5;2.9;;;;;;
13.5;3.2;;;;;;
16.0;1.8;;;;;;
16.0;2.0;;;;;;
16.0;2.3;;;;;;
16.0;2.6;;;;;;
16.0;2.9;;;;;;
16.0;3.2;;;;;;
17.2;1.8;;;;;;
17.2;2.0;;;;;;
17.2;2.3;;;;;;
17.2;2.6;;;;;;
17.2;2.9;;;;;;
17.2;3.2;;;;;;
20.0;2.0;;;;;;
20.0;2.3;;;;;;
20.0;2.6;;;;;;
20.0;2.9;;;;;;
20.0;3.2;;;;;;
20.0;3.6;;;;;;
21.3;2.0;;;;;;
21.3;2.3;;;;;;
21.3;2.6;;;;;;
21.3;2.9;;;;;;
21.3;3.2;;;;;;
21.3;3.6;;;;;;
25.0;2.0;;;;;;
25.0;2.3;;;;;;
25.0;2.6;;;;;;
25.0;2.9;;;;;;
25.0;3.2;;;;;;
25.0;3.6;;;;;;
26.9;2.3;;;;;;
26.9;2.6;;;;;;
26.9;2.9;;;;;;
26.9;3.2;;;;;;
26.9;3.6;;;;;;
26.9;4.0;;;;;;
30.0;2.6;;;;;;
30.0;2.9;;;;;;
30.0;3.2;;;;;;
30.0;3.6;;;;;;
30.0;4.0;;;;;;
30.0;4.5;;;;;;
31.8;2.6;;;;;;
31.8;2.9;;;;;;
31.8;3.2;;;;;;
31.8;3.6;;;;;;
31.8;4.0;;;;;;
31.8;4.5;;;;;;
33.7;2.6;;;;;;
33.7;2.9;;;;;;
33.7;3.2;;;;;;
33.7;3.6;;;;;;
33.7;4.0;;;;;;
33.7;4.5;;;;;;
38.0;2.6;;;;;;
38.0;2.9;;;;;;
38.0;3.2;;;;;;
38.0;3.6;;;;;;
38.0;4.0;;;;;;
38.0;4.5;;;;;;
42.4;2.6;;;;;;
42.4;2.9;;;;;;
42.4;3.2;;;;;;
42.4;3.6;;;;;;
42.4;4.0;;;;;;
42.4;4.5;;;;;;
44.5;2.6;;;;;;
44.5;2.9;;;;;;
44.5;3.2;;;;;;
44.5;3.6;;;;;;
44.5;4.0;;;;;;
44.5;4.5;;;;;;
48.3;2.6;;;;;;
48.3;2.9;;;;;;
48.3;3.2;;;;;;
48.3;3.6;;;;;;
48.3;4;;;;;;
48.3;4.5;;;;;;
51.0;2.6;;;;;;
51.0;2.9;;;;;;
51.0;3.2;;;;;;
51.0;3.6;;;;;;
51.0;4.0;;;;;;
51.0;4.5;;;;;;
57.0;2.9;;;;;;
57.0;3.2;;;;;;
57.0;3.6;;;;;;
57.0;4.0;;;;;;
57.0;4.5;;;;;;
57.0;5.0;;;;;;
60.3;2.9;;;;;;
60.3;3.2;;;;;;
60.3;3.6;;;;;;
60.3;4.0;;;;;;
60.3;4.5;;;;;;
60.3;5.0;;;;;;
63.5;2.9;;;;;;
63.5;3.2;;;;;;
63.5;3.6;;;;;;
63.5;4.0;;;;;;
63.5;4.5;;;;;;
63.5;5.0;;;;;;
70.0;2.9;;;;;;
70.0;3.2;;;;;;
70.0;3.6;;;;;;
70.0;4.0;;;;;;
70.0;4.5;;;;;;
70.0;5.0;;;;;;
76.1;2.9;;;;;;
76.1;3.2;;;;;;
76.1;3.6;;;;;;
76.1;4.0;;;;;;
76.1;4.5;;;;;;
76.1;5.0;;;;;;
82.5;3.2;;;;;;
82.5;3.6;;;;;;
82.5;4.0;;;;;;
82.5;4.5;;;;;;
82.5;5.0;;;;;;
82.5;5.6;;;;;;
88.9;3.2;;;;;;
88.9;3.6;;;;;;
88.9;4.0;;;;;;
88.9;4.5;;;;;;
88.9;5.0;;;;;;
88.9;5.6;;;;;;
101.6;3.6;;;;;;
101.6;4.0;;;;;;
101.6;4.5;;;;;;
101.6;5.0;;;;;;
101.6;5.6;;;;;;
101.6;6.3;;;;;;
108.0;3.6;;;;;;
108.0;4.0;;;;;;
108.0;4.5;;;;;;
108.0;5.0;;;;;;
