probably unnecessary;big diam in inches;small diam in inches;M1 in mm;M2 in mm
0.5;0.5;0.25;25.4;25.4
0.5;0.5;0.375;25.4;25.4
0.75;0.75;0.375;28.8;28.8
0.75;0.75;0.5;28.8;28.8
1;1;0.375;38.1;38.1
1;1;0.5;38.1;38.1
1;1;0.75;38.1;38.1
1.25;1.25;0.75;47.6;47.6
1.5;1.5;0.75;47.6;47.6
1.25;1.25;1;47.6;47.6
1.5;1.5;0.5;57.1;57.1
1.5;1.5;0.75;57.1;57.1
1.5;1.5;1;57.1;57.1
1.5;1.5;1.25;57.1;57.1
2;2;0.75;63.5;44.5
2;2;1;63.5;50.8
2;2;1.25;63.5;57.1
2;2;1.5;63.5;60.3
2.5;2.5;1;76.2;57.1
2.5;2.5;1.25;76.2;63.5
2.5;2.5;1.5;76.2;66.7
2.5;2.5;2;76.2;69.9
3;3;1;85.7;66.7
3;3;1.25;85.7;69.9
3;3;1.5;85.7;73
3;3;2;85.7;76.2
3;3;2.5;85.7;82.6
3.5;3.5;1.5;95.3;79.4
3.5;3.5;2;95.3;82.6
3.5;3.5;2.5;95.3;88.9
3.5;3.5;3;95.3;92
4;4;1.5;104.8;85.7
4;4;2;104.8;88.9
4;4;2.5;104.8;95.3
4;4;3;104.8;98.4
4;4;3.5;104.8;101.6
5;5;2;123.8;104.8
5;5;2.5;123.8;108
5;5;3;123.8;111.1
5;5;3.5;123.8;114.3
6;6;2.5;142.9;120.7
6;6;3;142.9;123.8
6;6;3.5;142.9;127
6;6;4;142.9;130.2
6;6;5;142.9;136.5
8;8;3;177.8;152.4
8;8;3.5;177.8;152.4
8;8;4;177.8;155.6
8;8;5;177.8;161.9
8;8;6;177.8;168.3
10;10;4;215.9;184.1
10;10;5;215.9;190.5
10;10;6;215.9;193.7
10;10;8;215.9;203.2
12;12;5;254;215.9
12;12;6;254;219
12;12;8;254;228.6
12;12;10;254;241.3
14;14;6;279.4;238.1
14;14;8;279.4;247.7
14;14;10;279.4;257.2
14;14;12;279.4;269.9
14;14;14;279.4;269.9
16;16;6;304.8;263.5
16;16;8;304.8;273
16;16;10;304.8;282.6
16;16;12;304.8;295.3
16;16;14;304.8;304.8
18;18;6;342.9;298.5
18;18;8;342.9;308
18;18;10;342.9;320.7
18;18;12;342.9;330.2
18;18;14;342.9;330.2
20;20;8;381;323.9
20;20;10;381;333.4
20;20;12;381;346
20;20;14;381;355.6
20;20;16;381;355.6
20;20;18;381;368.3
22;22;10;419.1;358.8
22;22;12;419.1;371.5
22;22;14;419.1;381
22;22;16;419.1;381
22;22;18;419.1;393.7
22;22;20;419.1;406.4
24;24;10;431.8;384.2
24;24;12;431.8;396.3
24;24;14;431.8;406.4
24;24;16;431.8;406.4
24;24;18;431.8;419.1
24;24;20;431.8;431.8
26;26;12;495.3;422.3
26;26;14;495.3;431.8
26;26;16;495.3;431.8
26;26;18;495.3;444.5
26;26;20;495.3;457.2
26;26;22;495.3;469.9
26;26;24;495.3;482.6
30;30;14;558.8;482.6
30;30;16;558.8;482.6
30;30;18;558.8;495.3
30;30;20;558.8;508
30;30;22;558.8;520.7
30;30;24;558.8;533.4
30;30;26;558.8;546.1
30;30;28;558.8;546.1
34;34;16;635;533.4
34;34;18;635;546.1
34;34;20;635;558.8
34;34;22;635;571.5
34;34;24;635;584.2
34;34;26;635;596.9
34;34;28;635;596.9
34;34;30;635;609.6
34;34;32;635;622.3
36;36;16;673.1;558.8
36;36;18;673.1;571.5
36;36;20;673.1;584.2
36;36;22;673.1;596.9
36;36;24;673.1;609.6
36;36;26;673.1;622.3
36;36;28;673.1;622.3
36;36;30;673.1;635
36;36;32;673.1;647.7
36;36;34;673.1;660.4
