Pipediameter in inches;L.R. 90° R;L.R. 90° B;L.R. 180°;S.R. 180°;S.R. 90° A
0,5;38,1;15,88;76,2;;
0,75;28,58;11,11;57,12;;
0,75;28,58;11,11;57,12;;
1;38,1;22,23;76,2;50,8;25,4
1,25;47,63;25,4;95,25;63,5;31,75
1,5;57,15;28,58;114301;76,2;38,1
2;76,2;34,93;152,4;101,6;50,8
2,5;95,25;44,45;190,5;127;63,5
3;114,3;50,8;228,6;152,4;76,2
3,5;133,35;57,15;266,7;177,8;88,9
4;152,4;63,5;304,8;203,2;101,6
5;190,5;79,38;381;254;127
6;228,6;95,25;457,2;304,8;152,4
8;304,8;127;609,6;406,4;203,2
10;381;158,75;762;508;254
12;457,2;190,5;914,4;609,6;304,8
14;533,4;222,25;1066,8;711,2;355,6
16;609,6;254;1219,2;812,8;406,4
18;685,8;285,75;1371,6;914,4;457,2
20;762;317,5;1524;1016;508
22;838,2;342,9;1676,4;;558,8
24;914,4;381;1828,8;1219,2;609,6
26;990,6;406,4;1981,2;;660,4
30;1143;469,9;2286;1524;762
34;1295,4;533,4;;;863,6
36;1371,6;571,5;;1828,8;914,4
42;1600,2;660,4;;;1066,8
