mainpipe in inches;Size;03.авг;01.фев;03.апр;1;01.01.2002;2;3;4;6;8;10;12;14;16;18;20;24
0.5;Std. - 40;30;30;;;;;;;;;;;;;;;
0.5;XS. - 80;30;30;;;;;;;;;;;;;;;
0.5;XXS. - 160;---;38;;;;;;;;;;;;;;;
0.75;Std. - 40;32;32;37;;;;;;;;;;;;;;
0.75;XS. - 80;32;32;37;;;;;;;;;;;;;;
0.75;XXS. - 160;---;41;44;;;;;;;;;;;;;;
1;Std. - 40;35;35;38;43;;;;;;;;;;;;;
1;XS. - 80;35;35;38;43;;;;;;;;;;;;;
1;XXS. - 160;---;44;48;54;;;;;;;;;;;;;
1.5;Std. - 40;43;43;46;51;57;;;;;;;;;;;;
1.5;XS. - 80;43;43;46;51;57;;;;;;;;;;;;
1.5;XXS. - 160;---;52;56;62;75;;;;;;;;;;;;
2;Std. - 40;49;49;52;57;64;68;;;;;;;;;;;
2;XS. - 80;49;49;52;57;64;68;;;;;;;;;;;
2;XXS. - 160;---;59;62;68;81;86;;;;;;;;;;;
3;Std. - 40;64;64;67;71;78;83;92;;;;;;;;;;
3;XS. - 80;64;64;67;71;78;83;92;;;;;;;;;;
3;XXS. - 160;---;73;76;83;95;100;118;;;;;;;;;;
4;Std. - 40;76;76;79;84;90;95;105;110;;;;;;;;;
4;XS. - 80;76;76;79;84;90;95;105;110;;;;;;;;;
4;XXS. - 160;---;86;89;95;108;113;130;141;;;;;;;;;
6;Std. - 40;103;103;106;111;117;122;132;136;144;;;;;;;;
6;XS. - 80;103;103;106;111;117;122;132;136;162;;;;;;;;
6;XXS. - 160;---;113;116;122;135;140;157;168;189;;;;;;;;
8;Std. - 40;129;129;132;137;143;148;157;162;170;179;;;;;;;
8;XS. - 80;129;129;132;137;143;148;157;162;187;208;;;;;;;
8;XXS. - 160;---;138;141;148;160;165;183;194;214;221;;;;;;;
10;Std. - 40;156;156;159;164;170;175;184;189;197;206;214;;;;;;
10;XS. - 80;156;156;159;164;170;175;184;189;214;235;232;;;;;;
10;XXS. - 160;---;165;168;175;187;192;210;221;241;248;262;;;;;;
12;Std. - 40;181;181;184;189;195;200;210;214;223;232;240;248;;;;;
12;XS. - 80;181;181;184;189;195;200;210;214;240;260;225;262;;;;;
12;XXS. - 160;---;191;194;200;213;217;235;246;267;273;287;321;;;;;
14;Std. - 40;197;197;200;205;211;216;225;230;238;248;256;264;267;;;;
14;XS. - 80;197;197;200;205;211;216;225;230;256;276;267;281;283;;;;
16;Std. - 40;222;222;225;230;237;241;251;256;264;273;281;289;292;297;;;
16;XS. - 80;222;222;225;230;237;241;251;256;281;302;292;306;303;316;;;
18;Std. - 40;248;248;251;256;262;267;276;281;289;298;306;314;318;322;332;;
18;XS. - 80;248;248;251;256;262;267;276;281;306;327;318;332;329;335;348;;
20;Std. - 40;273;273;276;281;287;292;302;306;314;324;332;340;343;348;351;371;
20;XS. - 80;273;273;276;281;287;292;302;306;332;352;343;357;354;360;365;381;
24;Std. - 40;324;324;327;332;338;343;352;357;365;375;383;391;394;398;402;406;449
24;XS. - 80;324;324;327;332;338;343;352;357;383;403;394;408;405;411;416;424;457
